Date,Open,High,Low,Vol.,Change %,Price
8/10/2023,1947.70,1963.50,1944.40,168.26K,-0.09%,1948.9
8/9/2023,1959.30,1966.10,1947.20,139.26K,-0.47%,1950.6
8/8/2023,1971.50,1972.80,1956.50,142.34K,-0.51%,1959.9
8/7/2023,1977.60,1981.70,1966.10,104.41K,-0.31%,1970
8/4/2023,1969.60,1984.20,1954.50,156.42K,0.37%,1976.1
8/3/2023,1970.80,1974.50,1964.50,141.35K,-0.31%,1968.8
8/2/2023,1988.90,1992.20,1969.10,169.66K,-0.19%,1975
8/1/2023,2004.20,2004.40,1978.30,167.76K,-1.51%,1978.8
7/31/2023,1997.90,2010.90,1986.70,139.96K,0.47%,2009.2
7/28/2023,1985.30,2002.00,1983.90,159.60K,1.76%,1999.9
7/27/2023,1991.80,2002.00,1961.40,16.91K,-1.23%,1965.3
7/26/2023,1985.90,1999.30,1982.80,11.94K,0.33%,1989.7
7/25/2023,1976.10,1986.20,1971.10,8.63K,0.08%,1983.1
7/24/2023,1983.20,1988.70,1974.70,6.44K,0.76%,1981.6
7/21/2023,1972.10,1975.90,1958.80,156.54K,-0.22%,1966.6
7/20/2023,1980.00,1989.80,1967.70,189.93K,-0.50%,1970.9
7/19/2023,1982.50,1984.60,1973.30,159.41K,0.00%,1980.8
7/18/2023,1958.30,1988.30,1958.10,264.09K,1.25%,1980.8
7/17/2023,1958.60,1963.60,1949.00,165.83K,-0.41%,1956.4
7/14/2023,1965.20,1967.80,1954.70,209.31K,0.03%,1964.4
7/13/2023,1962.70,1968.50,1956.60,241.22K,0.11%,1963.8
7/12/2023,1938.00,1965.10,1937.50,270.87K,1.27%,1961.7
7/11/2023,1930.80,1944.50,1929.80,189.37K,0.32%,1937.1
7/10/2023,1930.70,1933.70,1918.00,208.09K,-0.08%,1931
7/7/2023,1916.60,1941.10,1915.40,214.27K,0.89%,1932.5
7/6/2023,1922.40,1934.00,1908.50,231.51K,-0.61%,1915.4
7/5/2023,1929.10,1942.90,1922.10,245.93K,-0.35%,1927.1
7/4/2023,1928.85,1938.05,1927.75,,0.23%,1933.95
7/3/2023,1927.80,1939.90,1917.70,152.96K,0.01%,1929.5
6/30/2023,1916.40,1930.80,1908.10,180.69K,0.60%,1929.4
6/29/2023,1916.50,1921.30,1900.60,205.25K,0.24%,1917.9
6/28/2023,1915.20,1916.70,1903.60,0.63K,-0.09%,1913.4
6/27/2023,1927.40,1930.20,1912.30,0.23K,-0.52%,1915.1
6/26/2023,1926.40,1934.50,1923.00,0.77K,0.21%,1925.1
6/23/2023,1915.00,1939.30,1911.30,0.75K,0.31%,1921
6/22/2023,1935.90,1935.90,1914.00,0.37K,-1.09%,1915
6/21/2023,1939.50,1940.70,1922.20,0.81K,-0.14%,1936.1
6/20/2023,1961.70,1961.70,1932.40,0.74K,-1.28%,1938.9
6/19/2023,1969.55,1970.85,1959.90,,-0.27%,1964.05
6/18/2023,1970.85,1971.70,1968.65,,0.37%,1969.45
6/16/2023,1961.30,1970.60,1956.70,0.62K,0.02%,1962.2
6/15/2023,1948.80,1963.70,1929.60,0.82K,-0.36%,1961.8
